SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-13-2021,Single Family Residential,21 Los Pioneros,Rancho Santa Margarita,CA,92688,800000,2,2,R1 - Rancho Santa Margarita North,1139,4500,1987,,702,71,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Margarita/21-Los-Pioneros-92688/home/5093919,CRMLS,OC21197267,N,Y,33.6516361,-117.5942859
PAST SALE,September-8-2022,Condo/Co-op,26901 Poppy Pl,Mission Viejo,CA,92692,755000,3,2.5,MS - Mission Viejo South,1200,,1990,,629,355,Sold,,,https://www.redfin.com/CA/Mission-Viejo/26901-Poppy-Pl-92692/home/5314842,CRMLS,OC22164114,N,Y,33.5722595,-117.6508568
PAST SALE,May-25-2022,Single Family Residential,21026 Primrose Ln,Mission Viejo,CA,92691,980000,3,2.5,MN - Mission Viejo North,1584,4500,1984,,619,156,Sold,,,https://www.redfin.com/CA/Mission-Viejo/21026-Primrose-Ln-92691/home/5114377,CRMLS,OC22080047,N,Y,33.657742,-117.6455839
PAST SALE,November-3-2021,Condo/Co-op,7205 Apricot Dr #7205,Irvine,CA,92618,515000,2,2,OT - Orangetree,916,351965,1979,,562,488,Sold,,,https://www.redfin.com/CA/Irvine/7205-Apricot-Dr-92618/unit-7205/home/5260030,CRMLS,OC21207055,N,Y,33.6704725,-117.7761276
PAST SALE,February-13-2024,Condo/Co-op,79 Rue Du Chateau #14,Aliso Viejo,CA,92656,1010000,3,2.5,699 - Not Defined,1392,,1999,,726,193,Sold,,,https://www.redfin.com/CA/Aliso-Viejo/79-Rue-du-Chateau-92656/unit-14/home/5799585,CRMLS,OC24001734,N,Y,33.557414,-117.729132
PAST SALE,October-27-2021,Single Family Residential,631 S Pathfinder,Anaheim Hills,CA,92807,1750000,4,3.5,77 - Anaheim Hills,2941,15744,1981,,595,183,Sold,,,https://www.redfin.com/CA/Anaheim/631-S-Pathfinder-Trl-92807/home/4331848,CRMLS,OC21221867,N,Y,33.841019,-117.7837404
PAST SALE,May-25-2022,Condo/Co-op,34 Sablewood Cir,Ladera Ranch,CA,92694,1000000,3,2.5,LD - Ladera Ranch,1980,,2005,,505,461,Sold,,,https://www.redfin.com/CA/Ladera-Ranch/34-Sablewood-Cir-92694/home/5977847,CRMLS,OC22080743,N,Y,33.546688,-117.6445455
PAST SALE,August-23-2021,Single Family Residential,24812 Via San Marco,Aliso Viejo,CA,92656,596000,3,2,AV - Aliso Viejo,1240,2447,1971,,481,435,Sold,,,https://www.redfin.com/CA/Aliso-Viejo/24812-Via-San-Marco-92656/home/4849595,CRMLS,OC21152916,N,Y,33.6018781,-117.7214063
PAST SALE,April-7-2023,Single Family Residential,11462 Earlham St,Orange,CA,92869,899000,4,2,"75 - Orange, Orange Park Acres E of 55",1344,6650,1961,,669,,Sold,,,https://www.redfin.com/CA/Orange/11462-Earlham-St-92869/home/3411265,CRMLS,OC23044643,N,Y,33.7953544,-117.8076497
PAST SALE,April-1-2022,Condo/Co-op,15210 Fairfax Way,Tustin,CA,92782,910000,3,3,Columbus Square,1675,,2007,,543,298,Sold,,,https://www.redfin.com/CA/Tustin/15210-Fairfax-Way-92782/home/12257314,CRMLS,OC22046584,N,Y,33.7139211,-117.8207205
